,1979,,1980,,Jan.1981-Aug.1982,,Aug.1982-Nov.1983,,Nov.1983-Nov.1984,,Nov.1984-Nov.1985,,Nov.1985-Nov.1986,,Nov.1986-Nov.1987,,1988,1989,1990,1991,1992,1993,,,,,,,,,,1994,,,,,,,,,,1995,,,,,,,,,,1996,,,,,,,,,,1997,,,,,,,,,,1998,,,,,,,,,,1999,,,,,,,,,,2000,,,,,,,,,,2001,,,,,2002,,,,,2003,,,,,2004,,,,,2005,,,,,2006,,,,,2007,,,,,2008,,,,,2009,,,,,2010,,,,,2011,,,,,2012,,,,,2013,,,,,2014,,,,,2015,,,,,2016,,,,
,Print,Broadcast,Print,Broadcast,Print,Broadcast,Print,Broadcast,Print,Broadcast,Print,Broadcast,Print,Broadcast,Print,Broadcast,Status,Status,Status,Status,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status
Iran,PF,PF,PF,PF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,7,7,10,10,10,10,10,17,81,NF,8,7,10,10,10,10,10,18,83,NF,10,10,10,10,10,10,0,20,80,NF,10,15,15,15,10,10,0,5,80,NF,10,15,15,13,10,10,0,5,78,NF,10,14,14,13,10,10,0,5,76,NF,10,12,15,10,8,8,0,5,68,NF,15,13,15,12,4,8,0,5,72,NF,26,29,20,75,NF,25,32,19,76,NF,27,32,20,79,NF,28,33,19,80,NF,28,36,20,84,NF,29,34,21,84,NF,29,34,22,85,NF,29,34,22,85,NF,30,36,23,89,NF,30,37,24,91,NF,30,38,24,92,NF,30,38,24,92,NF,30,36,24,90,NF,30,36,24,90,NF,30,36,24,90,NF,30,36,24,90,NF
Iraq,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,10,10,10,10,10,10,20,19,99,NF,10,10,10,10,10,10,20,20,100,NF,10,10,10,10,10,10,20,20,100,NF,15,15,15,15,15,15,5,5,100,NF,15,15,15,15,15,15,5,5,100,NF,15,15,14,14,15,15,5,5,98,NF,15,15,14,14,15,15,5,5,98,NF,15,15,15,15,15,15,5,5,100,NF,30,40,26,96,NF,29,39,27,95,NF,22,29,15,66,NF,23,31,16,70,NF,22,33,16,71,NF,22,32,16,70,NF,22,31,16,69,NF,21,30,16,67,NF,22,27,16,65,NF,23,29,16,68,NF,23,30,16,69,NF,23,28,16,67,NF,23,30,16,69,NF,23,33,16,72,NF,23,32,16,71,NF,23,32,16,71,NF
Ireland,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,2,1,3,2,2,3,2,1,16,F,2,1,3,2,2,3,1,1,15,F,3,2,3,2,2,3,0,4,18,F,3,2,3,4,2,3,0,2,19,F,3,4,3,4,2,5,0,0,21,F,3,3,3,3,2,6,0,0,20,F,3,3,3,3,2,6,0,1,21,F,3,3,2,3,2,5,0,0,18,F,5,4,7,16,F,5,6,5,16,F,3,7,6,16,F,3,7,5,15,F,3,7,5,15,F,4,7,5,16,F,4,6,5,15,F,4,6,5,15,F,4,6,5,15,F,5,6,5,16,F,4,6,6,16,F,5,6,5,16,F,5,6,5,16,F,5,6,5,16,F,5,6,6,17,F,6,6,6,18,F
Israel,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,4,5,3,2,1,2,3,10,30,F,3,4,3,2,1,2,5,10,30,F,2,2,3,1,1,1,5,15,30,F,3,6,2,4,2,2,4,5,28,F,3,8,2,6,2,2,0,5,28,F,3,8,2,6,2,2,1,4,28,F,3,8,2,6,2,2,2,5,30,F,4,7,4,6,2,2,1,4,30,F,6,16,8,30,F,7,12,8,27,F,5,14,9,28,F,5,13,10,28,F,5,13,10,28,F,6,13,10,29,F,6,14,8,28,F,7,16,8,31,PF,7,14,8,29,F,7,15,7,29,F,7,15,8,30,F,7,15,9,31,PF,7,14,9,30,F,7,14,9,30,F,7,14,11,32,PF,8,14,11,33,PF
Israeli-Occupied Territories and Palestinian Authority,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NF,10,10,10,10,10,10,17,17,94,NF,8,10,8,8,0,8,0,16,58,PF,12,12,12,12,0,8,2,5,63,NF,12,12,12,12,0,8,4,5,65,NF,12,12,12,12,0,8,4,5,65,NF,12,12,12,12,0,8,5,4,65,NF,12,10,13,13,2,10,5,5,70,NF,26,36,22,84,NF,30,38,18,86,NF,29,37,20,86,NF,28,36,20,84,NF,28,36,22,86,NF,28,34,22,84,NF,28,34,22,84,NF,28,36,22,86,NF,28,34,22,84,NF,28,33,22,83,NF,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Italy,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,1,1,5,5,3,7,2,1,25,F,1,1,6,5,5,7,0,5,30,F,1,1,6,5,5,5,3,4,30,F,1,1,8,5,6,6,0,0,27,F,1,1,8,5,6,6,0,0,27,F,1,1,8,5,6,6,0,1,28,F,1,1,8,5,6,6,0,0,27,F,1,1,7,5,6,6,0,1,27,F,2,11,14,27,F,8,6,14,28,F,11,13,9,33,PF,9,13,13,35,PF,9,13,13,35,PF,9,11,9,29,F,10,10,9,29,F,11,11,10,32,PF,11,12,10,33,PF,11,13,10,34,PF,12,12,9,33,PF,12,11,10,33,PF,12,10,9,31,PF,12,10,9,31,PF,12,10,9,31,PF,12,10,9,31,PF
Jamaica,F,NF,F,NF,F,PF,F,PF,F,PF,F,PF,F,PF,F,PF,F,F,F,F,F,4,4,4,1,4,3,2,1,23,F,4,2,4,1,4,3,0,0,18,F,1,1,2,4,0,3,0,0,11,F,1,1,2,4,0,3,0,0,11,F,1,1,2,4,0,3,0,0,11,F,1,1,2,4,0,3,0,0,11,F,1,1,2,4,0,3,0,0,11,F,1,1,2,2,2,3,0,0,11,F,3,8,6,17,F,3,11,6,20,F,4,7,6,17,F,4,5,6,15,F,3,7,7,17,F,3,6,6,15,F,3,6,6,15,F,3,6,6,15,F,3,7,6,16,F,3,9,6,18,F,3,9,6,18,F,4,8,6,18,F,3,8,6,17,F,3,8,6,17,F,3,8,7,18,F,3,9,7,19,F
Japan,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,1,3,4,4,2,5,1,1,21,F,1,3,4,4,2,5,0,1,20,F,1,1,6,6,0,5,1,1,21,F,1,1,6,6,0,5,0,1,20,F,1,1,6,6,0,5,0,0,19,F,1,1,6,6,0,5,0,0,19,F,1,1,6,6,0,5,0,0,19,F,1,1,5,6,5,5,0,0,23,F,1,7,9,17,F,2,7,8,17,F,3,9,6,18,F,2,12,6,20,F,2,12,6,20,F,2,13,6,21,F,2,13,6,21,F,2,13,6,21,F,2,13,6,21,F,2,13,6,21,F,2,14,6,22,F,4,14,6,24,F,5,14,6,25,F,5,14,6,25,F,5,15,6,26,F,5,16,6,27,F
Jordan,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,5,5,10,7,3,8,6,8,52,PF,6,6,10,7,7,8,0,4,48,PF,8,8,8,8,6,4,0,3,45,PF,8,7,8,10,6,4,0,5,48,PF,14,13,8,10,6,4,0,5,60,PF,14,14,10,11,6,4,1,5,65,NF,12,12,10,9,6,4,0,4,57,PF,13,10,12,9,4,8,0,4,60,PF,29,20,11,60,PF,29,21,15,65,NF,23,22,18,63,NF,22,22,18,62,NF,21,22,18,61,NF,21,22,18,61,NF,21,24,18,63,NF,21,24,19,64,NF,20,24,19,63,NF,20,24,19,63,NF,21,23,19,63,NF,21,23,19,63,NF,22,26,20,68,NF,22,24,20,66,NF,22,24,20,66,NF,22,26,20,68,NF
Kazakhstan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PF,8,8,9,8,6,6,5,10,60,PF,8,8,10,9,8,8,5,5,61,NF,7,7,10,8,8,10,0,12,62,NF,10,10,12,8,8,10,4,2,64,NF,10,13,12,10,8,10,0,3,66,NF,10,13,13,10,8,11,3,0,68,NF,10,13,13,10,8,1,2,1,68,NF,13,13,13,10,8,8,3,2,70,NF,24,22,23,69,NF,24,27,22,73,NF,25,27,22,74,NF,25,28,22,75,NF,25,28,22,75,NF,26,28,22,76,NF,26,30,22,78,NF,26,30,22,78,NF,26,30,22,78,NF,28,29,23,80,NF,28,30,23,81,NF,29,32,23,84,NF,29,33,23,85,NF,29,33,23,85,NF,28,33,23,84,NF,28,34,23,85,NF
Kenya,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,NF,NF,NF,NF,NF,NF,PF,8,8,8,8,4,4,5,15,60,PF,8,4,7,7,2,2,9,13,52,PF,6,8,8,10,5,5,0,20,62,NF,9,12,12,11,5,5,0,5,59,PF,9,12,12,13,5,7,0,5,63,NF,9,12,14,13,5,7,5,5,70,NF,10,12,15,15,5,7,1,5,70,NF,10,10,15,12,7,10,1,5,70,NF,24,21,22,67,NF,24,24,20,68,NF,20,21,19,60,PF,21,21,19,61,NF,20,20,18,58,PF,20,21,18,59,PF,21,21,18,60,PF,21,21,18,60,PF,21,19,17,57,PF,19,18,17,54,PF,16,19,17,52,PF,16,20,17,53,PF,17,23,17,57,PF,17,23,17,57,PF,17,24,17,58,PF,17,24,17,58,PF
Kiribati,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,10,10,1,1,1,1,26,F,2,2,9,9,1,1,0,0,24,F,4,4,5,5,0,0,0,0,18,F,4,4,5,5,0,0,0,0,18,F,4,4,5,4,0,0,0,0,17,F,4,4,5,4,0,0,0,0,17,F,4,4,5,4,0,0,0,0,17,F,6,3,4,4,1,3,0,1,22,F,4,2,15,21,F,6,4,16,26,F,5,8,14,27,F,4,8,14,26,F,5,9,14,28,F,5,8,13,26,F,5,8,13,26,F,6,8,13,27,F,6,8,13,27,F,6,8,13,27,F,6,8,13,27,F,6,9,12,27,F,6,9,14,29,F,6,9,14,29,F,6,10,14,30,F,6,10,14,30,F
Kosovo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,15,20,18,53,PF,14,19,18,51,PF,14,18,17,49,PF,14,18,17,49,PF,14,18,17,49,PF,14,18,17,49,PF,14,18,17,49,PF,13,19,16,48,PF
Kuwait,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,NF,NF,NF,NF,NF,5,5,10,9,8,10,5,15,67,NF,6,6,10,9,8,10,5,16,70,NF,7,7,8,8,0,4,0,8,42,PF,9,9,11,11,0,4,0,0,44,PF,9,9,11,11,0,4,0,0,44,PF,9,9,11,11,0,4,0,1,45,PF,9,9,11,11,0,4,1,3,48,PF,13,8,14,8,0,4,0,1,48,PF,22,19,8,49,PF,19,22,13,54,PF,19,22,16,57,PF,20,22,16,58,PF,20,20,16,56,PF,19,21,16,56,PF,18,21,15,54,PF,18,21,16,55,PF,18,21,16,55,PF,19,22,16,57,PF,19,22,16,57,PF,20,23,16,59,PF,20,23,16,59,PF,20,23,16,59,PF,20,23,16,59,PF,21,23,16,60,PF
Kyrgyzstan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PF,6,6,9,7,3,8,3,7,49,PF,6,6,9,9,5,8,3,6,52,PF,10,10,10,10,0,8,0,12,60,PF,12,12,11,13,0,11,0,2,61,NF,12,12,11,13,0,11,0,5,64,NF,12,12,11,13,0,11,0,5,64,NF,12,12,11,13,0,11,0,2,61,NF,10,10,10,12,3,11,2,3,61,NF,24,22,22,68,NF,23,26,22,71,NF,23,27,21,71,NF,23,27,21,71,NF,22,22,20,64,NF,22,25,20,67,NF,22,28,20,70,NF,23,29,20,72,NF,23,30,20,73,NF,21,29,20,70,NF,20,29,20,69,NF,20,29,20,69,NF,19,27,20,66,NF,20,27,20,67,NF,20,27,20,67,NF,20,27,20,67,NF
Laos,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,9,9,10,10,10,10,5,7,70,NF,9,9,10,10,10,10,5,5,68,NF,10,10,10,10,10,10,0,2,62,NF,11,11,10,10,10,10,0,0,62,NF,13,13,10,10,10,10,0,0,66,NF,13,13,10,10,10,10,0,0,66,NF,13,13,10,10,10,10,0,0,66,NF,13,13,13,13,6,10,1,0,69,NF,26,34,22,82,NF,26,31,23,80,NF,28,31,23,82,NF,28,32,23,83,NF,26,31,24,81,NF,26,31,24,81,NF,26,32,25,83,NF,27,33,26,86,NF,26,33,25,84,NF,26,33,26,85,NF,26,33,25,84,NF,26,33,25,84,NF,26,33,25,84,NF,26,33,25,84,NF,26,33,25,84,NF,26,34,25,85,NF
Latvia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,F,PF,2,2,4,7,3,7,2,2,29,F,1,1,4,7,4,8,0,4,29,F,1,0,3,4,4,7,0,2,21,F,1,0,5,4,4,7,0,0,21,F,1,0,5,4,4,7,0,0,21,F,1,1,5,4,4,6,0,0,21,F,2,2,5,4,4,6,0,1,24,F,2,2,5,4,4,6,0,1,24,F,2,7,10,19,F,7,5,6,18,F,7,4,6,17,F,5,6,6,17,F,6,7,6,19,F,6,6,7,19,F,6,8,8,22,F,6,8,9,23,F,6,10,10,26,F,6,11,9,26,F,6,12,9,27,F,6,12,10,28,F,6,11,10,27,F,7,10,11,28,F,7,10,11,28,F,7,8,11,26,F
Lebanon,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,NF,NF,NF,PF,PF,3,3,5,4,5,9,7,10,46,PF,5,3,8,7,5,9,11,8,56,PF,8,8,4,6,0,2,2,16,46,PF,12,8,6,9,0,4,2,5,46,PF,14,8,14,12,6,8,0,0,62,NF,14,8,12,12,6,8,0,2,62,NF,12,9,12,10,7,9,1,1,61,NF,12,9,12,10,7,10,0,1,61,NF,26,31,17,74,NF,25,29,17,71,NF,23,27,16,66,NF,22,23,15,60,PF,21,24,15,60,PF,19,25,15,59,PF,18,21,16,55,PF,18,22,16,56,PF,18,21,16,55,PF,18,21,14,53,PF,18,19,14,51,PF,18,21,14,53,PF,18,21,14,53,PF,20,21,14,55,PF,20,22,14,56,PF,20,21,15,56,PF
Lesotho,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,NF,NF,NF,NF,NF,PF,PF,10,3,6,7,10,7,2,2,47,PF,10,3,9,6,10,7,3,4,52,PF,10,10,10,10,7,8,0,0,55,PF,10,10,10,10,7,8,1,2,58,PF,12,10,10,8,7,8,0,3,58,PF,12,10,10,8,7,8,0,4,59,PF,12,10,10,7,7,8,0,2,56,PF,10,7,10,6,7,10,0,2,52,PF,13,15,18,46,PF,11,15,16,42,PF,11,15,14,40,PF,13,15,14,42,PF,13,15,14,42,PF,13,15,14,42,PF,13,19,14,46,PF,14,19,15,48,PF,14,19,15,48,PF,14,19,15,48,PF,14,19,16,49,PF,14,19,16,49,PF,13,18,16,47,PF,13,19,16,48,PF,13,20,16,49,PF,13,22,16,51,PF
Liberia,PF,PF,NF,NF,NF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,NF,NF,NF,NF,NF,9,7,7,10,7,10,15,15,80,NF,5,4,10,10,7,10,10,15,71,NF,10,10,10,10,0,10,0,20,70,NF,12,12,14,14,0,11,2,5,70,NF,12,12,14,14,0,11,2,5,70,NF,12,12,14,14,0,11,2,5,70,NF,12,12,10,12,10,10,0,1,67,NF,10,10,10,8,10,15,3,2,68,NF,26,31,20,77,NF,22,34,23,79,NF,19,33,23,75,NF,21,29,23,73,NF,19,23,22,64,NF,19,24,22,65,NF,18,25,22,65,NF,17,25,21,63,NF,17,23,21,61,NF,16,22,21,59,PF,16,23,21,60,PF,15,21,20,56,PF,16,21,21,58,PF,17,22,21,60,PF,16,21,21,58,PF,17,22,21,60,PF
Libya,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,10,10,10,10,10,10,9,18,87,NF,10,10,10,10,10,10,10,15,85,NF,10,10,10,10,10,10,10,19,89,NF,15,15,15,15,15,15,0,0,90,NF,15,15,15,15,15,15,0,0,90,NF,15,15,15,15,15,15,0,2,92,NF,15,15,15,15,15,15,0,0,90,NF,15,15,15,15,15,15,0,0,90,NF,26,36,26,88,NF,28,34,27,89,NF,29,36,29,94,NF,29,37,29,95,NF,29,38,29,96,NF,29,38,29,96,NF,29,36,29,94,NF,29,36,29,94,NF,29,36,29,94,NF,29,36,29,94,NF,16,27,17,60,PF,15,27,17,59,PF,16,29,17,62,NF,22,33,18,73,NF,22,34,19,75,NF,22,35,20,77,NF
Liechtenstein,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,6,11,F,2,3,7,12,F,1,5,8,14,F,1,5,7,13,F,1,5,8,14,F,1,5,8,14,F,1,5,8,14,F,1,5,8,14,F,1,5,8,14,F,1,5,8,14,F,1,5,8,14,F,1,5,8,14,F,1,5,8,14,F,1,5,8,14,F,2,5,8,15,F
Lithuania,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,F,PF,2,2,2,5,7,6,2,4,30,F,2,2,4,5,7,6,0,3,29,F,2,4,0,8,4,2,0,5,25,F,2,4,0,8,4,2,0,0,20,F,2,3,0,6,4,2,0,0,17,F,2,3,1,6,4,2,0,0,18,F,2,3,1,6,4,4,0,0,20,F,2,3,1,6,4,4,0,0,20,F,4,7,8,19,F,7,5,6,18,F,5,7,6,18,F,5,7,6,18,F,5,7,6,18,F,5,7,6,18,F,5,7,6,18,F,5,7,6,18,F,5,9,7,21,F,5,9,8,22,F,5,9,9,23,F,6,8,10,24,F,6,8,10,24,F,7,8,10,25,F,6,7,10,23,F,6,6,9,21,F
Luxembourg,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,1,1,2,2,2,2,1,1,12,F,1,1,2,2,2,2,0,0,10,F,1,1,2,2,2,2,0,0,10,F,1,1,2,2,2,2,0,0,10,F,1,1,2,2,2,2,0,0,10,F,1,1,2,2,2,2,0,0,10,F,1,1,2,2,2,2,0,0,10,F,1,1,2,2,2,2,0,0,10,F,3,4,7,14,F,3,3,8,14,F,2,3,7,12,F,2,4,5,11,F,1,3,7,11,F,2,3,7,12,F,2,3,7,12,F,2,3,7,12,F,2,3,7,12,F,2,3,7,12,F,2,3,7,12,F,2,4,6,12,F,2,4,6,12,F,2,4,6,12,F,3,4,6,13,F,3,5,6,14,F
Macedonia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PF,-,-,-,-,-,-,-,-,-,-,5,5,7,7,3,7,0,0,34,PF,10,4,10,6,0,4,0,2,36,PF,10,4,10,5,0,4,0,0,33,PF,10,4,10,10,5,5,0,0,44,PF,10,4,9,9,5,5,0,0,42,PF,10,4,9,9,5,5,0,0,42,PF,10,4,9,9,5,5,1,1,44,PF,11,14,21,46,PF,12,19,19,50,PF,17,21,15,53,PF,14,21,16,51,PF,13,20,16,49,PF,11,18,16,45,PF,12,19,16,47,PF,12,19,16,47,PF,12,18,16,46,PF,12,20,16,48,PF,16,21,17,54,PF,17,22,17,56,PF,17,21,19,57,PF,18,21,19,58,PF,19,24,19,62,NF,19,25,20,64,NF
Madagascar,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,PF,PF,3,4,5,6,5,7,5,10,45,PF,4,4,6,6,5,7,5,7,44,PF,4,4,6,10,2,4,0,2,32,PF,4,4,8,10,2,4,0,0,32,PF,4,4,8,10,2,4,0,0,32,PF,4,4,8,10,2,4,0,0,32,PF,4,4,7,10,2,4,1,0,32,PF,4,4,7,8,2,7,0,0,32,PF,3,14,14,31,PF,7,19,12,38,PF,11,18,12,41,PF,15,19,16,50,PF,15,19,15,49,PF,14,21,15,50,PF,14,19,15,48,PF,14,22,15,51,PF,17,29,15,61,NF,19,30,15,64,NF,19,29,15,63,NF,20,30,16,66,NF,20,27,16,63,NF,19,24,16,59,PF,19,23,16,58,PF,19,23,16,58,PF
Malawi,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,6,7,9,5,5,5,2,2,41,PF,8,5,7,5,5,9,0,4,43,PF,8,4,4,0,0,6,0,14,36,PF,12,6,4,8,0,6,1,1,38,PF,12,6,5,8,0,6,0,3,40,PF,12,6,5,8,0,6,0,5,42,PF,14,7,8,8,4,6,0,5,52,PF,12,7,10,6,8,7,0,2,52,PF,19,21,14,54,PF,17,24,16,57,PF,15,22,15,52,PF,16,22,16,54,PF,16,22,17,55,PF,16,20,17,53,PF,17,20,18,55,PF,17,21,18,56,PF,17,21,18,56,PF,18,19,18,55,PF,19,23,18,60,PF,17,19,17,53,PF,17,18,16,51,PF,16,17,16,49,PF,15,15,15,45,PF,15,15,15,45,PF
Malaysia,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,NF,NF,PF,PF,PF,PF,PF,8,9,9,9,3,4,8,8,58,PF,10,9,9,9,6,5,5,11,64,NF,9,9,9,10,5,6,5,8,61,NF,10,10,14,13,5,7,1,1,61,NF,10,11,14,13,5,7,0,1,61,NF,10,11,14,15,5,7,3,1,66,NF,10,11,14,15,5,7,5,3,70,NF,10,11,14,13,5,11,1,5,70,NF,28,24,19,71,NF,26,27,18,71,NF,26,25,18,69,NF,26,26,17,69,NF,23,24,18,65,NF,24,25,19,68,NF,24,23,18,65,NF,24,24,17,65,NF,24,23,17,64,NF,24,23,17,64,NF,24,22,17,63,NF,24,23,17,64,NF,24,23,17,64,NF,25,23,17,65,NF,26,24,17,67,NF,26,25,18,69,NF
Maldives,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,PF,NF,NF,NF,9,9,10,10,10,10,5,5,68,NF,8,8,9,9,9,9,5,5,62,NF,8,9,10,10,0,8,5,18,68,NF,15,15,13,14,0,8,0,0,65,NF,15,15,13,14,0,8,0,1,66,NF,15,15,13,14,0,8,0,1,66,NF,15,15,13,14,0,8,0,0,65,NF,15,14,13,14,0,9,0,0,65,NF,22,20,19,61,NF,24,22,18,64,NF,23,23,18,64,NF,22,27,19,68,NF,24,27,19,70,NF,23,27,18,68,NF,23,25,18,66,NF,19,20,17,56,PF,17,17,16,50,PF,17,17,16,50,PF,17,18,16,51,PF,18,21,16,55,PF,18,21,16,55,PF,17,22,16,55,PF,18,24,16,58,PF,21,25,16,62,NF
Mali,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,9,9,5,5,5,6,2,2,43,PF,9,9,8,5,5,6,5,5,52,PF,10,9,3,0,0,0,0,2,24,F,10,9,3,0,0,0,1,1,24,F,10,9,3,2,0,0,2,4,30,F,10,9,3,2,0,2,0,1,27,F,10,9,3,2,0,2,0,0,26,F,7,5,3,2,1,3,0,1,22,F,6,10,7,23,F,6,9,9,24,F,8,10,9,27,F,6,8,9,23,F,6,10,8,24,F,7,9,8,24,F,10,9,8,27,F,9,9,8,26,F,9,8,8,25,F,8,8,8,24,F,9,7,8,24,F,13,21,12,46,PF,9,20,8,37,PF,8,19,10,37,PF,8,19,10,37,PF,8,19,10,37,PF
Malta,PF,PF,PF,PF,F,PF,F,NF,F,NF,F,NF,F,NF,F,PF,F,F,F,F,F,2,3,6,5,5,3,1,2,27,F,2,3,6,5,5,3,0,0,24,F,6,9,0,2,0,0,0,0,17,F,6,9,0,2,0,0,0,0,17,F,6,9,0,2,0,0,0,0,17,F,6,9,0,2,0,0,0,0,17,F,6,9,0,2,0,0,0,0,17,F,3,3,3,2,1,2,0,0,14,F,0,5,8,13,F,2,4,7,13,F,2,5,8,15,F,2,7,9,18,F,2,7,9,18,F,2,6,9,17,F,3,8,9,20,F,4,9,9,22,F,4,9,9,22,F,4,9,9,22,F,4,9,9,22,F,4,9,9,22,F,5,9,9,23,F,5,9,9,23,F,5,9,9,23,F,5,9,9,23,F
Marshall Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,4,2,3,7,0,0,18,F,1,1,4,2,4,7,0,0,19,F,2,0,2,2,0,2,0,0,8,F,2,0,2,2,0,2,0,0,8,F,2,0,2,2,0,2,0,0,8,F,2,0,2,2,0,2,0,0,8,F,2,0,2,2,0,2,0,0,8,F,2,1,2,1,0,2,0,0,8,F,0,5,5,10,F,0,5,5,10,F,1,5,6,12,F,1,6,6,13,F,1,6,8,15,F,2,6,9,17,F,2,6,9,17,F,2,6,9,17,F,2,6,9,17,F,2,6,9,17,F,2,6,9,17,F,2,6,9,17,F,2,6,9,17,F,2,6,9,17,F,2,6,9,17,F,2,6,9,17,F
